Station_ID,Year,Month,Monthly_MSL,Monthly_Avg_Temp
"Pulaski, GA",1979,1,-0.229,45.3
"Pulaski, GA",1979,2,-0.079,46.8
"Pulaski, GA",1979,3,-0.135,57.3
"Pulaski, GA",1979,4,-0.072,64.9
"Pulaski, GA",1979,5,-0.108,72.4
"Pulaski, GA",1979,6,0.017,75.8
"Pulaski, GA",1979,7,0.037,81.9
"Pulaski, GA",1979,8,-0.072,81.4
"Pulaski, GA",1979,9,-0.062,76.5
"Pulaski, GA",1979,10,-0.158,65.9
"Pulaski, GA",1979,11,-0.102,59.3
"Pulaski, GA",1979,12,-0.027,48.7
"Pulaski, GA",1980,1,0.07,48.7
"Pulaski, GA",1980,2,0.025,45.9
"Pulaski, GA",1980,3,-0.047,54.6
"Pulaski, GA",1980,4,-0.023,64.3
"Pulaski, GA",1980,5,-0.008,71.4
"Pulaski, GA",1980,6,-0.029,78.4
"Pulaski, GA",1980,7,-0.064,82.4
"Pulaski, GA",1980,8,-0.145,82
"Pulaski, GA",1980,9,-0.133,79.8
"Pulaski, GA",1980,10,-0.179,65
"Pulaski, GA",1980,11,-0.102,55.4
"Pulaski, GA",1980,12,-0.045,46.1
"Pulaski, GA",1981,1,-0.077,45
"Pulaski, GA",1981,2,-0.073,51.5
"Pulaski, GA",1981,3,-0.086,59.2
"Pulaski, GA",1981,4,-0.099,61.7
"Pulaski, GA",1981,5,-0.041,72.2
"Pulaski, GA",1981,6,-0.176,78.8
"Pulaski, GA",1981,7,-0.018,81.2
"Pulaski, GA",1981,8,-0.041,80
"Pulaski, GA",1981,9,-0.117,74.5
"Pulaski, GA",1981,10,-0.158,64
"Pulaski, GA",1981,11,-0.004,55.4
"Pulaski, GA",1981,12,-0.119,46.1
"Pulaski, GA",1982,1,-0.168,45
"Pulaski, GA",1982,2,-0.082,51.5
"Pulaski, GA",1982,3,-0.004,59.2
"Pulaski, GA",1982,4,-0.09,61.7
"Pulaski, GA",1982,5,-0.093,72.2
"Pulaski, GA",1982,6,-0.02,78.8
"Pulaski, GA",1982,7,-0.042,81.2
"Pulaski, GA",1982,8,-0.075,80
"Pulaski, GA",1982,9,-0.108,74.5
"Pulaski, GA",1982,10,-0.033,65
"Pulaski, GA",1982,11,0.039,60.9
"Pulaski, GA",1982,12,0.055,57
"Pulaski, GA",1983,1,0.161,45.5
"Pulaski, GA",1983,2,0.116,49
"Pulaski, GA",1983,3,0.081,56.4
"Pulaski, GA",1983,4,-0.011,61
"Pulaski, GA",1983,5,-0.084,71.7
"Pulaski, GA",1983,6,0.038,76.9
"Pulaski, GA",1983,7,0.049,82.8
"Pulaski, GA",1983,8,-0.059,82.9
"Pulaski, GA",1983,9,-0.041,75.4
"Pulaski, GA",1983,10,0.007,68.9
"Pulaski, GA",1983,11,-0.031,57.4
"Pulaski, GA",1983,12,-0.079,48.8
"Pulaski, GA",1984,1,0.073,46.1
"Pulaski, GA",1984,2,-0.082,52.8
"Pulaski, GA",1984,3,-0.025,57.6
"Pulaski, GA",1984,4,0.012,63.9
"Pulaski, GA",1984,5,-0.105,71.6
"Pulaski, GA",1984,6,-0.041,78.8
"Pulaski, GA",1984,7,-0.106,79.9
"Pulaski, GA",1984,8,-0.099,81.8
"Pulaski, GA",1984,9,-0.047,73
"Pulaski, GA",1984,10,0.001,71.2
"Pulaski, GA",1984,11,0.066,54.2
"Pulaski, GA",1984,12,0.031,57.1
"Pulaski, GA",1985,1,-0.037,42.6
"Pulaski, GA",1985,2,-0.073,50.4
"Pulaski, GA",1985,3,-0.038,60.7
"Pulaski, GA",1985,4,-0.087,67.8
"Pulaski, GA",1985,5,-0.002,73.5
"Pulaski, GA",1985,6,-0.09,79.6
"Pulaski, GA",1985,7,0.007,80.9
"Pulaski, GA",1985,8,0.072,79.9
"Pulaski, GA",1985,9,0.006,75.8
"Pulaski, GA",1985,10,0.095,72.1
"Pulaski, GA",1985,11,-0.025,67.3
"Pulaski, GA",1985,12,-0.112,47.9
"Pulaski, GA",1986,1,-0.037,45.8
"Pulaski, GA",1986,2,0.01,55.5
"Pulaski, GA",1986,3,-0.074,58
"Pulaski, GA",1986,4,0.057,66.1
"Pulaski, GA",1986,5,0.053,74.3
"Pulaski, GA",1986,6,0.084,81.4
"Pulaski, GA",1986,7,-0.015,86.1
"Pulaski, GA",1986,8,-0.059,79.9
"Pulaski, GA",1986,9,-0.062,78.6
"Pulaski, GA",1986,10,-0.097,68.8
"Pulaski, GA",1986,11,0.036,63.1
"Pulaski, GA",1986,12,0.119,52.7
"Pulaski, GA",1987,1,0.051,47.2
"Pulaski, GA",1987,2,0.113,48.8
"Pulaski, GA",1987,3,0.133,56.8
"Pulaski, GA",1987,4,-0.053,62.6
"Pulaski, GA",1987,5,-0.026,73.2
"Pulaski, GA",1987,6,-0.121,80
"Pulaski, GA",1987,7,-0.006,83
"Pulaski, GA",1987,8,-0.059,83.5
"Pulaski, GA",1987,9,-0.13,77.7
"Pulaski, GA",1987,10,-0.088,61
"Pulaski, GA",1987,11,-0.034,60.1
"Pulaski, GA",1987,12,-0.106,53.5
"Pulaski, GA",1988,1,-0.025,43.2
"Pulaski, GA",1988,2,-0.039,49.1
"Pulaski, GA",1988,3,-0.099,57.4
"Pulaski, GA",1988,4,-0.005,64.3
"Pulaski, GA",1988,5,-0.066,71.9
"Pulaski, GA",1988,6,-0.014,76.7
"Pulaski, GA",1988,7,-0.073,81.8
"Pulaski, GA",1988,8,-0.087,82
"Pulaski, GA",1988,9,-0.066,76.3
"Pulaski, GA",1988,10,-0.03,62.7
"Pulaski, GA",1988,11,-0.102,61
"Pulaski, GA",1988,12,-0.054,50.6
"Pulaski, GA",1989,1,0.012,55.5
"Pulaski, GA",1989,2,-0.057,55
"Pulaski, GA",1989,3,0.063,59.6
"Pulaski, GA",1989,4,-0.063,65.3
"Pulaski, GA",1989,5,-0.09,72.3
"Pulaski, GA",1989,6,-0.151,80.4
"Pulaski, GA",1989,7,-0.048,82.8
"Pulaski, GA",1989,8,-0.023,80.7
"Pulaski, GA",1989,9,-0.02,76.6
"Pulaski, GA",1989,10,-0.097,68.7
"Pulaski, GA",1989,11,-0.147,60.6
"Pulaski, GA",1989,12,-0.094,43.1
"Pulaski, GA",1990,1,-0.132,55.4
"Pulaski, GA",1990,2,-0.06,59.2
"Pulaski, GA",1990,3,0.063,62.5
"Pulaski, GA",1990,4,-0.05,66
"Pulaski, GA",1990,5,-0.075,74.4
"Pulaski, GA",1990,6,-0.002,81
"Pulaski, GA",1990,7,-0.006,83.6
"Pulaski, GA",1990,8,-0.011,82.5
"Pulaski, GA",1990,9,-0.05,79.2
"Pulaski, GA",1990,10,-0.072,70.4
"Pulaski, GA",1990,11,-0.022,60.4
"Pulaski, GA",1990,12,-0.012,56.4
"Pulaski, GA",1991,1,0.109,50.8
"Pulaski, GA",1991,2,-0.051,54.9
"Pulaski, GA",1991,3,0.029,60.5
"Pulaski, GA",1991,4,0.018,67.6
"Pulaski, GA",1991,5,0.056,76.3
"Pulaski, GA",1991,6,0.099,78.9
"Pulaski, GA",1991,7,0.055,83.6
"Pulaski, GA",1991,8,0.005,82
"Pulaski, GA",1991,9,0.054,77.4
"Pulaski, GA",1991,10,0.019,67.6
"Pulaski, GA",1991,11,0.005,56
"Pulaski, GA",1991,12,-0.103,54.3
"Pulaski, GA",1992,1,0.018,49.5
"Pulaski, GA",1992,2,0.037,54.9
"Pulaski, GA",1992,3,-0.08,57.9
"Pulaski, GA",1992,4,0.009,63.6
"Pulaski, GA",1992,5,0.05,70.3
"Pulaski, GA",1992,6,0.108,77.5
"Pulaski, GA",1992,7,-0.03,83.9
"Pulaski, GA",1992,8,-0.044,80.6
"Pulaski, GA",1992,9,-0.014,76.2
"Pulaski, GA",1992,10,0.022,65
"Pulaski, GA",1992,11,0.026,60.4
"Pulaski, GA",1992,12,-0.027,51
"Pulaski, GA",1993,1,0.173,53.6
"Pulaski, GA",1993,2,0.141,49.7
"Pulaski, GA",1993,3,-0.041,55.8
"Pulaski, GA",1993,4,0.005,61.6
"Pulaski, GA",1993,5,-0.032,72.5
"Pulaski, GA",1993,6,-0.032,79.4
"Pulaski, GA",1993,7,-0.036,85.5
"Pulaski, GA",1993,8,-0.005,82
"Pulaski, GA",1993,9,-0.111,78.3
"Pulaski, GA",1993,10,-0.002,67.3
"Pulaski, GA",1993,11,-0.01,59.3
"Pulaski, GA",1993,12,-0.027,48.5
"Pulaski, GA",1994,1,-0.107,46.4
"Pulaski, GA",1994,2,0.01,53.3
"Pulaski, GA",1994,3,-0.065,61.3
"Pulaski, GA",1994,4,-0.087,68.3
"Pulaski, GA",1994,5,0.039,71.1
"Pulaski, GA",1994,6,-0.103,79.8
"Pulaski, GA",1994,7,-0.102,82
"Pulaski, GA",1994,8,-0.048,80
"Pulaski, GA",1994,9,-0.039,75.6
"Pulaski, GA",1994,10,0.064,66.3
"Pulaski, GA",1994,11,-0.01,62.5
"Pulaski, GA",1994,12,0.209,54.4
"Pulaski, GA",1995,1,0.024,49.5
"Pulaski, GA",1995,2,-0.088,50.1
"Pulaski, GA",1995,3,0.12,60.3
"Pulaski, GA",1995,4,0.091,68.3
"Pulaski, GA",1995,5,0.075,71.1
"Pulaski, GA",1995,6,0.06,79.8
"Pulaski, GA",1995,7,0.07,82
"Pulaski, GA",1995,8,0.258,80
"Pulaski, GA",1995,9,0.161,75.6
"Pulaski, GA",1995,10,0.055,69.7
"Pulaski, GA",1995,11,-0.033,53.7
"Pulaski, GA",1995,12,0.066,47.4
"Pulaski, GA",1996,1,-0.005,48
"Pulaski, GA",1996,2,-0.075,51.8
"Pulaski, GA",1996,3,-0.068,53.7
"Pulaski, GA",1996,4,-0.09,64.2
"Pulaski, GA",1996,5,-0.042,75.4
"Pulaski, GA",1996,6,-0.021,78.3
"Pulaski, GA",1996,7,-0.065,81.9
"Pulaski, GA",1996,8,-0.001,78.3
"Pulaski, GA",1996,9,-0.062,75.4
"Pulaski, GA",1996,10,0.034,65.8
"Pulaski, GA",1996,11,0.038,54.6
"Pulaski, GA",1996,12,0.034,54.3
"Pulaski, GA",1997,1,0.014,49.7
"Pulaski, GA",1997,2,0.063,55.1
"Pulaski, GA",1997,3,0.048,64.2
"Pulaski, GA",1997,4,0.113,63.1
"Pulaski, GA",1997,5,-0.001,69.2
"Pulaski, GA",1997,6,0.103,74.8
"Pulaski, GA",1997,7,0.093,80.7
"Pulaski, GA",1997,8,0.099,79
"Pulaski, GA",1997,9,0.027,75.9
"Pulaski, GA",1997,10,-0.042,66
"Pulaski, GA",1997,11,-0.084,55.1
"Pulaski, GA",1997,12,-0.013,49.8
"Pulaski, GA",1998,1,0.057,52.5
"Pulaski, GA",1998,2,0.216,53.6
"Pulaski, GA",1998,3,0.039,56.2
"Pulaski, GA",1998,4,0.042,65.1
"Pulaski, GA",1998,5,0.079,75.1
"Pulaski, GA",1998,6,-0.058,82.2
"Pulaski, GA",1998,7,-0.028,83.8
"Pulaski, GA",1998,8,0.004,81.2
"Pulaski, GA",1998,9,-0.081,77.3
"Pulaski, GA",1998,10,-0.086,68.6
"Pulaski, GA",1998,11,-0.067,62.4
"Pulaski, GA",1998,12,0.031,55.7
"Pulaski, GA",1999,1,0.06,53.6
"Pulaski, GA",1999,2,0.17,53.6
"Pulaski, GA",1999,3,0.048,54.9
"Pulaski, GA",1999,4,0.044,67.8
"Pulaski, GA",1999,5,0.07,70.4
"Pulaski, GA",1999,6,0.046,76.4
"Pulaski, GA",1999,7,0.026,82.5
"Pulaski, GA",1999,8,0.091,83.2
"Pulaski, GA",1999,9,0.127,74.7
"Pulaski, GA",1999,10,0.075,66.4
"Pulaski, GA",1999,11,0.002,59.8
"Pulaski, GA",1999,12,0.05,50.4
"Pulaski, GA",2000,1,0.042,47.3
"Pulaski, GA",2000,2,-0.028,53.1
"Pulaski, GA",2000,3,0.052,60.9
"Pulaski, GA",2000,4,0.005,62.8
"Pulaski, GA",2000,5,0.003,75.5
"Pulaski, GA",2000,6,-0.025,79.7
"Pulaski, GA",2000,7,0.11,81.5
"Pulaski, GA",2000,8,0.096,80.2
"Pulaski, GA",2000,9,0.065,75.2
"Pulaski, GA",2000,10,0.048,64.9
"Pulaski, GA",2000,11,0.044,55.3
"Pulaski, GA",2000,12,-0.006,42.6
"Pulaski, GA",2001,1,-0.064,46.4
"Pulaski, GA",2001,2,-0.055,54.6
"Pulaski, GA",2001,3,0.035,56.5
"Pulaski, GA",2001,4,-0.068,65.1
"Pulaski, GA",2001,5,0.037,72.5
"Pulaski, GA",2001,6,-0.045,78.9
"Pulaski, GA",2001,7,0.084,79.8
"Pulaski, GA",2001,8,-0.01,80.9
"Pulaski, GA",2001,9,0.068,73.5
"Pulaski, GA",2001,10,0.015,64.8
"Pulaski, GA",2001,11,0.056,63.6
"Pulaski, GA",2001,12,0.051,56.3
"Pulaski, GA",2002,1,-0.096,51.3
"Pulaski, GA",2002,2,0.014,51.8
"Pulaski, GA",2002,3,0.006,60.4
"Pulaski, GA",2002,4,0.064,69.5
"Pulaski, GA",2002,5,0.028,71.4
"Pulaski, GA",2002,6,0.092,78.7
"Pulaski, GA",2002,7,0.023,82.7
"Pulaski, GA",2002,8,0.124,79.6
"Pulaski, GA",2002,9,0.056,79
"Pulaski, GA",2002,10,0.067,70.6
"Pulaski, GA",2002,11,-0.061,56
"Pulaski, GA",2002,12,-0.037,48.3
"Pulaski, GA",2003,1,-0.098,44.7
"Pulaski, GA",2003,2,-0.06,50.8
"Pulaski, GA",2003,3,0.132,61.2
"Pulaski, GA",2003,4,0.13,64.7
"Pulaski, GA",2003,5,0.026,73.9
"Pulaski, GA",2003,6,-0.031,78.6
"Pulaski, GA",2003,7,-0.116,81.3
"Pulaski, GA",2003,8,-0.109,81.5
"Pulaski, GA",2003,9,0.061,74.6
"Pulaski, GA",2003,10,0.007,66.8
"Pulaski, GA",2003,11,0.036,62.1
"Pulaski, GA",2003,12,-0.003,47
"Pulaski, GA",2004,1,0.005,46.3
"Pulaski, GA",2004,2,0.072,47.8
"Pulaski, GA",2004,3,-0.008,59.7
"Pulaski, GA",2004,4,-0.088,64.9
"Pulaski, GA",2004,5,-0.102,75.7
"Pulaski, GA",2004,6,-0.059,80.4
"Pulaski, GA",2004,7,0.021,82.7
"Pulaski, GA",2004,8,-0.025,79.3
"Pulaski, GA",2004,9,0.017,76.4
"Pulaski, GA",2004,10,0.036,69
"Pulaski, GA",2004,11,0.015,59.9
"Pulaski, GA",2004,12,-0.048,49.7
"Pulaski, GA",2005,1,0.139,50.7
"Pulaski, GA",2005,2,0.156,51.6
"Pulaski, GA",2005,3,0,55.8
"Pulaski, GA",2005,4,0.065,63.2
"Pulaski, GA",2005,5,0.095,69.9
"Pulaski, GA",2005,6,0.095,78.6
"Pulaski, GA",2005,7,0.048,83.5
"Pulaski, GA",2005,8,0.122,82.1
"Pulaski, GA",2005,9,0.144,79.2
"Pulaski, GA",2005,10,0.094,67.7
"Pulaski, GA",2005,11,-0.056,60
"Pulaski, GA",2005,12,-0.047,49.1
"Pulaski, GA",2006,1,0.005,54.1
"Pulaski, GA",2006,2,-0.022,50
"Pulaski, GA",2006,3,0.036,57.1
"Pulaski, GA",2006,4,0.011,68.1
"Pulaski, GA",2006,5,0.07,72.2
"Pulaski, GA",2006,6,-0.012,78.4
"Pulaski, GA",2006,7,-0.027,82.1
"Pulaski, GA",2006,8,0.015,82.6
"Pulaski, GA",2006,9,0.024,75.5
"Pulaski, GA",2006,10,-0.068,65
"Pulaski, GA",2006,11,-0.001,57.6
"Pulaski, GA",2006,12,0.033,56.4
"Pulaski, GA",2007,1,0.025,52.4
"Pulaski, GA",2007,2,-0.021,49.7
"Pulaski, GA",2007,3,0.002,60.8
"Pulaski, GA",2007,4,0.029,64.1
"Pulaski, GA",2007,5,0.132,71.3
"Pulaski, GA",2007,6,0.11,78.5
"Pulaski, GA",2007,7,0.122,80.6
"Pulaski, GA",2007,8,0.027,83.7
"Pulaski, GA",2007,9,0.103,77.5
"Pulaski, GA",2007,10,0.068,71.6
"Pulaski, GA",2007,11,0.017,57.5
"Pulaski, GA",2007,12,0.013,57
"Pulaski, GA",2008,1,-0.011,48.9
"Pulaski, GA",2008,2,-0.065,55.2
"Pulaski, GA",2008,3,-0.054,58.6
"Pulaski, GA",2008,4,0.096,65
"Pulaski, GA",2008,5,0.048,71.7
"Pulaski, GA",2008,6,-0.094,81.2
"Pulaski, GA",2008,7,0.035,81.1
"Pulaski, GA",2008,8,0.137,81.2
"Pulaski, GA",2008,9,0.139,76.2
"Pulaski, GA",2008,10,0.067,64.5
"Pulaski, GA",2008,11,0.03,54.5
"Pulaski, GA",2008,12,-0.102,56
"Pulaski, GA",2009,1,-0.104,48.2
"Pulaski, GA",2009,2,-0.122,49.8
"Pulaski, GA",2009,3,0.03,58
"Pulaski, GA",2009,4,-0.016,64.5
"Pulaski, GA",2009,5,0.043,73.3
"Pulaski, GA",2009,6,0.123,80.9
"Pulaski, GA",2009,7,0.072,80.9
"Pulaski, GA",2009,8,-0.014,81.6
"Pulaski, GA",2009,9,0.19,76.6
"Pulaski, GA",2009,10,0.037,67.5
"Pulaski, GA",2009,11,0.211,58.8
"Pulaski, GA",2009,12,0.204,50.9
"Pulaski, GA",2010,1,0.076,44.5
"Pulaski, GA",2010,2,0.086,45.9
"Pulaski, GA",2010,3,0.117,55.9
"Pulaski, GA",2010,4,-0.008,66.9
"Pulaski, GA",2010,5,-0.022,75.5
"Pulaski, GA",2010,6,-0.054,83.4
"Pulaski, GA",2010,7,0.03,82.7
"Pulaski, GA",2010,8,0.099,83.3
"Pulaski, GA",2010,9,0.033,78.8
"Pulaski, GA",2010,10,-0.029,68.4
"Pulaski, GA",2010,11,0.039,58.2
"Pulaski, GA",2010,12,-0.052,42.7
"Pulaski, GA",2011,1,-0.024,44.4
"Pulaski, GA",2011,2,0.004,54.8
"Pulaski, GA",2011,3,0.074,60
"Pulaski, GA",2011,4,-0.038,68.8
"Pulaski, GA",2011,5,0.019,74.4
"Pulaski, GA",2011,6,0.001,83.3
"Pulaski, GA",2011,7,0.096,83.7
"Pulaski, GA",2011,8,0.161,83.2
"Pulaski, GA",2011,9,0.028,76.7
"Pulaski, GA",2011,10,0.007,64.3
"Pulaski, GA",2011,11,0.037,59.1
"Pulaski, GA",2011,12,0.043,54.9
"Pulaski, GA",2012,1,-0.065,52.7
"Pulaski, GA",2012,2,0.058,55.3
"Pulaski, GA",2012,3,0.019,65.3
"Pulaski, GA",2012,4,0.1,67.1
"Pulaski, GA",2012,5,0.124,75
"Pulaski, GA",2012,6,0.209,76.1
"Pulaski, GA",2012,7,0.047,83.7
"Pulaski, GA",2012,8,0.059,80.3
"Pulaski, GA",2012,9,-0.01,76.4
"Pulaski, GA",2012,10,0.007,67.2
"Pulaski, GA",2012,11,0.184,53.4
"Pulaski, GA",2012,12,0.089,55.4
"Pulaski, GA",2013,1,0.112,55.3
"Pulaski, GA",2013,2,0.033,51.4
"Pulaski, GA",2013,3,0.094,52.9
"Pulaski, GA",2013,4,0.136,65.4
"Pulaski, GA",2013,5,0.112,71.7
"Pulaski, GA",2013,6,-0.002,80.2
"Pulaski, GA",2013,7,0.089,81.9
"Pulaski, GA",2013,8,0.149,81.3
"Pulaski, GA",2013,9,0.098,77.2
"Pulaski, GA",2013,10,0.114,68.8
"Pulaski, GA",2013,11,0.123,57.1
"Pulaski, GA",2013,12,0.085,65.3
"Pulaski, GA",2014,1,0.077,45.6
"Pulaski, GA",2014,2,0.171,53.4
"Pulaski, GA",2014,3,0.172,55
"Pulaski, GA",2014,4,0.176,68.1
"Pulaski, GA",2014,5,0.082,76.1
"Pulaski, GA",2014,8,0.189,83
"Pulaski, GA",2014,9,0.16,78.3
"Pulaski, GA",2014,10,0.012,69.8
"Pulaski, GA",2014,11,0.067,54.8
"Pulaski, GA",2014,12,0.175,53.1
"Pulaski, GA",2015,1,0.164,48.3
"Pulaski, GA",2015,2,0.171,45
"Pulaski, GA",2015,3,0.124,59.9
"Pulaski, GA",2015,4,0.11,68.3
"Pulaski, GA",2015,5,0.11,73.3
"Pulaski, GA",2015,6,-0.012,82.3
"Pulaski, GA",2015,7,0.125,83.3
"Pulaski, GA",2015,8,0.124,81.3
"Pulaski, GA",2015,9,0.093,77.6
"Pulaski, GA",2015,10,0.216,67.3
"Pulaski, GA",2015,11,0.197,63.1
"Pulaski, GA",2015,12,0.244,63.5
"Pulaski, GA",2016,1,0.227,47.8
"Pulaski, GA",2016,2,0.139,52.2
"Pulaski, GA",2016,3,0.157,64.3
"Pulaski, GA",2016,4,0.21,66
"Pulaski, GA",2016,5,0.117,73.8
"Pulaski, GA",2016,6,0.196,82.3
"Pulaski, GA",2016,7,0.053,86.2
"Pulaski, GA",2016,8,0.078,83.8
"Pulaski, GA",2016,9,0.02,79.8
"Pulaski, GA",2016,10,0.199,70.2
"Pulaski, GA",2016,11,0.186,59.6
"Pulaski, GA",2016,12,0.152,54.8
"Pulaski, GA",2017,1,0.054,56.6
"Pulaski, GA",2017,2,0.071,59.4
"Pulaski, GA",2017,3,0.048,59.1
"Pulaski, GA",2017,4,0.139,70.1
"Pulaski, GA",2017,5,0.01,74.3
"Pulaski, GA",2017,6,0.096,78.4
"Pulaski, GA",2017,7,0.086,82.1
"Pulaski, GA",2017,8,0.155,81.6
"Pulaski, GA",2017,9,0.219,77.7
"Pulaski, GA",2017,10,0.103,69.8
"Pulaski, GA",2017,11,0.119,58.1
"Pulaski, GA",2017,12,0.074,51.4
"Pulaski, GA",2018,1,0.035,45.3
"Pulaski, GA",2018,2,0.081,62
"Pulaski, GA",2018,3,0.185,56.5
"Pulaski, GA",2018,4,0.075,63.7
"Pulaski, GA",2018,5,0.021,76
"Pulaski, GA",2018,6,0.009,82.3
"Pulaski, GA",2018,7,0.169,82.3
"Pulaski, GA",2018,8,0.045,82.4
"Pulaski, GA",2018,9,0.059,81.5
"Pulaski, GA",2018,10,0.03,71.5
"Pulaski, GA",2018,11,0.168,58.3
"Pulaski, GA",2018,12,0.177,53.3
"Pulaski, GA",2019,1,0.141,50.9
"Pulaski, GA",2019,2,0.248,58.3
"Pulaski, GA",2019,3,0.258,58.3
"Pulaski, GA",2019,4,0.165,58.1
"Pulaski, GA",2019,5,0.145,66.3
"Pulaski, GA",2019,6,0.134,78.1
"Pulaski, GA",2019,7,0.223,79.5
"Pulaski, GA",2019,8,0.174,82.5
"Pulaski, GA",2019,9,0.169,81.9
"Pulaski, GA",2019,10,0.178,79.3
"Pulaski, GA",2019,11,0.258,72
"Pulaski, GA",2019,12,0.174,54.4
"Pulaski, GA",2020,1,0.153,55.2
"Pulaski, GA",2020,2,0.16,54.6
"Pulaski, GA",2020,3,0.169,54.6
"Pulaski, GA",2020,4,0.194,64.4
"Pulaski, GA",2020,5,0.123,65.6
"Pulaski, GA",2020,6,0.162,72
"Pulaski, GA",2020,7,0.2,77.9
"Pulaski, GA",2020,8,0.156,83.6
"Pulaski, GA",2020,9,0.194,81.8
"Pulaski, GA",2020,10,0.185,76.8
"Pulaski, GA",2020,11,0.226,71.9
"Pulaski, GA",2020,12,0.103,64.2
"Pulaski, GA",2021,1,0.148,50.2
"Pulaski, GA",2021,2,0.2,50.7
"Pulaski, GA",2021,3,0.219,51.5
"Pulaski, GA",2021,4,0.164,60.5
"Pulaski, GA",2021,5,0.102,65
"Pulaski, GA",2021,6,0.107,71.6
